"county","county_ascii","county_full","county_fips","state_id","state_name","lat","lng","population"
"Putnam","Putnam","Putnam County","18133","IN","Indiana","39.6663","-86.8450","37280"
"Bennington","Bennington","Bennington County","50003","VT","Vermont","43.0354","-73.0932","37269"
"Clark","Clark","Clark County","21049","KY","Kentucky","37.9708","-84.1474","37192"
"Clarion","Clarion","Clarion County","42031","PA","Pennsylvania","41.1924","-79.4210","37179"
"Warren","Warren","Warren County","29219","MO","Missouri","38.7646","-91.1607","37177"
"Uintah","Uintah","Uintah County","49047","UT","Utah","40.1248","-109.5186","37056"
"Green","Green","Green County","55045","WI","Wisconsin","42.6800","-89.6022","37017"
"Marion","Marion","Marion County","17121","IL","Illinois","38.6496","-88.9190","37000"
"Essex","Essex","Essex County","36031","NY","New York","44.1172","-73.7726","36973"
"Clinton","Clinton","Clinton County","17027","IL","Illinois","38.6065","-89.4225","36954"
"Whitley","Whitley","Whitley County","21235","KY","Kentucky","36.7581","-84.1452","36920"
"Okmulgee","Okmulgee","Okmulgee County","40111","OK","Oklahoma","35.6466","-95.9643","36899"
"Webster","Webster","Webster County","19187","IA","Iowa","42.4279","-94.1818","36886"
"Dallas","Dallas","Dallas County","01047","AL","Alabama","32.3260","-87.1065","36858"
"Cocke","Cocke","Cocke County","47029","TN","Tennessee","35.9254","-83.1212","36813"
"Delta","Delta","Delta County","26041","MI","Michigan","45.9193","-86.9241","36813"
"Huntington","Huntington","Huntington County","18069","IN","Indiana","40.8292","-85.4881","36798"
"McLeod","McLeod","McLeod County","27085","MN","Minnesota","44.8236","-94.2724","36798"
"Coshocton","Coshocton","Coshocton County","39031","OH","Ohio","40.3017","-81.9201","36744"
"Williams","Williams","Williams County","39171","OH","Ohio","41.5603","-84.5881","36719"
"Natchitoches","Natchitoches","Natchitoches Parish","22069","LA","Louisiana","31.7234","-93.0962","36693"
"Beauregard","Beauregard","Beauregard Parish","22011","LA","Louisiana","30.6486","-93.3432","36676"
"Washington","Washington","Washington County","48477","TX","Texas","30.2145","-96.4034","36647"
"Wasatch","Wasatch","Wasatch County","49051","UT","Utah","40.3308","-111.1682","36642"
"Graves","Graves","Graves County","21083","KY","Kentucky","36.7231","-88.6512","36630"
"Escambia","Escambia","Escambia County","01053","AL","Alabama","31.1261","-87.1615","36629"
"Jefferson","Jefferson","Jefferson County","17081","IL","Illinois","38.3005","-88.9240","36550"
"Carlton","Carlton","Carlton County","27017","MN","Minnesota","46.5924","-92.6770","36518"
"Dyer","Dyer","Dyer County","47045","TN","Tennessee","36.0592","-89.4137","36508"
"Alexander","Alexander","Alexander County","37003","NC","North Carolina","35.9210","-81.1770","36412"
"Laclede","Laclede","Laclede County","29105","MO","Missouri","37.6583","-92.5903","36390"
"Matagorda","Matagorda","Matagorda County","48321","TX","Texas","28.8212","-96.0110","36329"
"Chippewa","Chippewa","Chippewa County","26033","MI","Michigan","46.3053","-84.5780","36295"
"Adams","Adams","Adams County","18001","IN","Indiana","40.7457","-84.9367","36227"
"Sioux","Sioux","Sioux County","19167","IA","Iowa","43.0826","-96.1779","36212"
"Lincoln","Lincoln","Lincoln County","23015","ME","Maine","44.0665","-69.5434","36099"
"Harris","Harris","Harris County","13145","GA","Georgia","32.7360","-84.9089","36086"
"Marshall","Marshall","Marshall County","47117","TN","Tennessee","35.4689","-86.7650","36049"
"Knox","Knox","Knox County","18083","IN","Indiana","38.6891","-87.4180","36007"
"Ware","Ware","Ware County","13299","GA","Georgia","31.0538","-82.4237","35976"
"Lincoln","Lincoln","Lincoln County","47103","TN","Tennessee","35.1405","-86.5890","35946"
"Scotts Bluff","Scotts Bluff","Scotts Bluff County","31157","NE","Nebraska","41.8506","-103.7080","35843"
"Webster","Webster","Webster Parish","22119","LA","Louisiana","32.7135","-93.3350","35820"
"Geary","Geary","Geary County","20061","KS","Kansas","39.0024","-96.7525","35815"
"Silver Bow","Silver Bow","Silver Bow County","30093","MT","Montana","45.9024","-112.6567","35785"
"Miami","Miami","Miami County","18103","IN","Indiana","40.7695","-86.0450","35712"
"Livingston","Livingston","Livingston County","17105","IL","Illinois","40.8916","-88.5577","35565"
"Perry","Perry","Perry County","39127","OH","Ohio","39.7371","-82.2361","35535"
"Madison","Madison","Madison County","31119","NE","Nebraska","41.9167","-97.6008","35532"
"Greenup","Greenup","Greenup County","21089","KY","Kentucky","38.5457","-82.9223","35501"
"Wise","Wise","Wise County","51195","VA","Virginia","36.9752","-82.6212","35448"
"Morrow","Morrow","Morrow County","39117","OH","Ohio","40.5241","-82.7941","35404"
"Wakulla","Wakulla","Wakulla County","12129","FL","Florida","30.1673","-84.4007","35387"
"DeSoto","DeSoto","DeSoto County","12027","FL","Florida","27.1863","-81.8095","35386"
"Wapello","Wapello","Wapello County","19179","IA","Iowa","41.0306","-92.4095","35362"
"Brookings","Brookings","Brookings County","46011","SD","South Dakota","44.3697","-96.7904","35353"
"Becker","Becker","Becker County","27005","MN","Minnesota","46.9346","-95.6740","35343"
"Floyd","Floyd","Floyd County","21071","KY","Kentucky","37.5571","-82.7457","35224"
"Monroe","Monroe","Monroe County","17133","IL","Illinois","38.2785","-90.1773","35036"
"Barry","Barry","Barry County","29009","MO","Missouri","36.7099","-93.8291","35033"
"Pickens","Pickens","Pickens County","13227","GA","Georgia","34.4643","-84.4656","34951"
"Miami","Miami","Miami County","20121","KS","Kansas","38.5635","-94.8381","34938"
"Lincoln","Lincoln","Lincoln County","28085","MS","Mississippi","31.5324","-90.4540","34877"
"Greene","Greene","Greene County","42059","PA","Pennsylvania","39.8538","-80.2229","34835"
"Clark","Clark","Clark County","55019","WI","Wisconsin","44.7347","-90.6121","34739"
"Steuben","Steuben","Steuben County","18151","IN","Indiana","41.6439","-85.0008","34726"
"Platte","Platte","Platte County","31141","NE","Nebraska","41.5713","-97.5211","34716"
"Whitley","Whitley","Whitley County","18183","IN","Indiana","41.1394","-85.5051","34618"
"Taos","Taos","Taos County","35055","NM","New Mexico","36.5783","-105.6310","34543"
"Effingham","Effingham","Effingham County","17049","IL","Illinois","39.0598","-88.5899","34522"
"Lumpkin","Lumpkin","Lumpkin County","13187","GA","Georgia","34.5722","-84.0027","34505"
"Nicollet","Nicollet","Nicollet County","27103","MN","Minnesota","44.3499","-94.2475","34411"
"Cowley","Cowley","Cowley County","20035","KS","Kansas","37.2377","-96.8375","34411"
